id;data_abertura_proposta;data_entrega_edital;data_entrega_proposta;data_publicacao;endereco_entrega_edital;funcao_responsavel;identificador;informacoes_gerais;modalidade;nome_responsavel;numero_aviso;numero_itens;numero_processo;objeto;situacao_aviso;tipo_pregao;tipo_recurso;uasg;descricao_item;quantidade_item;valor_estimado_item;descricao_detalhada_item;margem_preferencial;situacao_item;menor_lance;decreto_7174;fornecedor_vencedor;tratamento_diferenciado;unidade_fornecimento;valor_negociado;;situacao
34914;2014-09-10T09:30:00;2014-08-28T09:00:00;2014-08-28T09:00:00;28/08/2014;Av. Governador Jorge Teixeira, Nº3146 - Setor Industrial/RO;Equipe de Apoio;1,5834505000102E+016;NA;5;EMERSON DE ARAUJO ALVES;102014;NA;2,32430016022014E+016;Pregão Eletrônico O objeto desta lic itação é a CONCESSÃO DE USO DE ESPAÇO FÍSICO PA RA EXPLORAÇÃO DE SERVIÇOS DE LANCHONETE E RESTA URANTE, por empresa especializada no ramo, nas dependências do Campus Porto Velho Calama do In stituto Federal de Rondônia;Publicado;Eletrônico;Nacional;158345;CAFÉ;1;0,6;Café - 50ml;false;homologado;16.99;false;NA;NA;Copo;NA;/pregoes/doc/pregao/1583450000102014;NORMAL
34965;2014-09-10T09:30:00;2014-08-28T09:00:00;2014-08-28T09:00:00;28/08/2014;Av. Governador Jorge Teixeira, Nº3146 - Setor Industrial/RO;Equipe de Apoio;1,5834505000102E+016;NA;5;EMERSON DE ARAUJO ALVES;102014;NA;2,32430016022014E+016;Pregão Eletrônico O objeto desta lic itação é a CONCESSÃO DE USO DE ESPAÇO FÍSICO PA RA EXPLORAÇÃO DE SERVIÇOS DE LANCHONETE E RESTA URANTE, por empresa especializada no ramo, nas dependências do Campus Porto Velho Calama do In stituto Federal de Rondônia;Publicado;Eletrônico;Nacional;158345;CAFÉ;1;0,6;Café - 50ml;false;homologado;16.99;false;NA;NA;Copo;NA;/pregoes/doc/pregao/1583450000102014;NORMAL
35016;2014-09-10T09:30:00;2014-08-28T09:00:00;2014-08-28T09:00:00;28/08/2014;Av. Governador Jorge Teixeira, Nº3146 - Setor Industrial/RO;Equipe de Apoio;1,5834505000102E+016;NA;5;EMERSON DE ARAUJO ALVES;102014;NA;2,32430016022014E+016;Pregão Eletrônico O objeto desta lic itação é a CONCESSÃO DE USO DE ESPAÇO FÍSICO PA RA EXPLORAÇÃO DE SERVIÇOS DE LANCHONETE E RESTA URANTE, por empresa especializada no ramo, nas dependências do Campus Porto Velho Calama do In stituto Federal de Rondônia;Publicado;Eletrônico;Nacional;158345;CAFÉ;1;0,6;Café - 50ml;false;homologado;16.99;false;NA;NA;Copo;NA;/pregoes/doc/pregao/1583450000102014;NORMAL
34915;2014-09-10T09:30:00;2014-08-28T09:00:00;2014-08-28T09:00:00;28/08/2014;Av. Governador Jorge Teixeira, Nº3146 - Setor Industrial/RO;Equipe de Apoio;1,5834505000102E+016;NA;5;EMERSON DE ARAUJO ALVES;102014;NA;2,32430016022014E+016;Pregão Eletrônico O objeto desta lic itação é a CONCESSÃO DE USO DE ESPAÇO FÍSICO PA RA EXPLORAÇÃO DE SERVIÇOS DE LANCHONETE E RESTA URANTE, por empresa especializada no ramo, nas dependências do Campus Porto Velho Calama do In stituto Federal de Rondônia;Publicado;Eletrônico;Nacional;158345;CAFÉ;1;1,5;Café com leite 300ml;false;homologado;13.01;false;NA;NA;Copo;NA;/pregoes/doc/pregao/1583450000102014;NORMAL
34966;2014-09-10T09:30:00;2014-08-28T09:00:00;2014-08-28T09:00:00;28/08/2014;Av. Governador Jorge Teixeira, Nº3146 - Setor Industrial/RO;Equipe de Apoio;1,5834505000102E+016;NA;5;EMERSON DE ARAUJO ALVES;102014;NA;2,32430016022014E+016;Pregão Eletrônico O objeto desta lic itação é a CONCESSÃO DE USO DE ESPAÇO FÍSICO PA RA EXPLORAÇÃO DE SERVIÇOS DE LANCHONETE E RESTA URANTE, por empresa especializada no ramo, nas dependências do Campus Porto Velho Calama do In stituto Federal de Rondônia;Publicado;Eletrônico;Nacional;158345;CAFÉ;1;1,5;Café com leite 300ml;false;homologado;13.01;false;NA;NA;Copo;NA;/pregoes/doc/pregao/1583450000102014;NORMAL
35017;2014-09-10T09:30:00;2014-08-28T09:00:00;2014-08-28T09:00:00;28/08/2014;Av. Governador Jorge Teixeira, Nº3146 - Setor Industrial/RO;Equipe de Apoio;1,5834505000102E+016;NA;5;EMERSON DE ARAUJO ALVES;102014;NA;2,32430016022014E+016;Pregão Eletrônico O objeto desta lic itação é a CONCESSÃO DE USO DE ESPAÇO FÍSICO PA RA EXPLORAÇÃO DE SERVIÇOS DE LANCHONETE E RESTA URANTE, por empresa especializada no ramo, nas dependências do Campus Porto Velho Calama do In stituto Federal de Rondônia;Publicado;Eletrônico;Nacional;158345;CAFÉ;1;1,5;Café com leite 300ml;false;homologado;13.01;false;NA;NA;Copo;NA;/pregoes/doc/pregao/1583450000102014;NORMAL
37557;2013-06-21T10:00:00;2013-06-07T08:00:00;2013-06-07T08:00:00;07/06/2013;Av. 17 de Agosto, 2187 - Casa_forte - Casa Forte/PE;Coordenador Geral de Planejamento e Administração;3,4400205000112E+016;NA;5;YVES GORADESKY;112013;NA;23101.0337/2013;Pregão Eletrônico Constitui objeto c onsiste no registro de preços para aquisição ev ementares do presente edital. entual de açúcar, adoçante, café e filtro de pa pel para atender a demanda de todas as unidades da Fundação Joaquim Nabuco, por um período d;Publicado;Eletrônico;Nacional;344002;COADOR DESCARTÁVEL CAFÉ;250;2,39;Filtro descartável para café, número 102, caixa com 40 unidades.;false;homologado;1.75;false;NA;NA;caixa;NA;/pregoes/doc/pregao/3440020000112013;NORMAL
18278;2014-02-26T09:00:00;2014-02-14T08:00:00;2014-02-14T08:00:00;14/02/2014;Avenida Araucária, 780 - Vila a/PR;Pregoeira;1,5800905000042E+016;NA;5;MONICE MOISE DE FREITAS AQUINO;42014;NA;2,34110025402013E+016;Pregão Eletrônico Registro de Preços para aquisição de Gêneros de Alimentação, para atender a demanda dos Câmpus e Reitoria, do In stituto Federal do Paraná.;Publicado;Eletrônico;Nacional;158009;COADOR DESCARTÁVEL CAFÉ;2;2,61;(Filtro para café - Caixa com 40 unidades) Tamanho 103, costura dupla. Formato 23cm x 27cm. Em caixa, contendo 40 unidades.;false;homologado;2.60;false;NA;NA;Caixa;NA;/pregoes/doc/pregao/1580090000042014;NORMAL
18388;2014-02-26T09:00:00;2014-02-14T08:00:00;2014-02-14T08:00:00;14/02/2014;Avenida Araucária, 780 - Vila a/PR;Pregoeira;1,5800905000042E+016;NA;5;MONICE MOISE DE FREITAS AQUINO;42014;NA;2,34110025402013E+016;Pregão Eletrônico Registro de Preços para aquisição de Gêneros de Alimentação, para atender a demanda dos Câmpus e Reitoria, do In stituto Federal do Paraná.;Publicado;Eletrônico;Nacional;158009;COADOR DESCARTÁVEL CAFÉ;2;2,61;(Filtro para café - Caixa com 40 unidades) Tamanho 103, costura dupla. Formato 23cm x 27cm. Em caixa, contendo 40 unidades.;false;homologado;2.60;false;NA;NA;Caixa;NA;/pregoes/doc/pregao/1580090000042014;NORMAL
37558;2013-06-21T10:00:00;2013-06-07T08:00:00;2013-06-07T08:00:00;07/06/2013;Av. 17 de Agosto, 2187 - Casa_forte - Casa Forte/PE;Coordenador Geral de Planejamento e Administração;3,4400205000112E+016;NA;5;YVES GORADESKY;112013;NA;23101.0337/2013;Pregão Eletrônico Constitui objeto c onsiste no registro de preços para aquisição ev ementares do presente edital. entual de açúcar, adoçante, café e filtro de pa pel para atender a demanda de todas as unidades da Fundação Joaquim Nabuco, por um período d;Publicado;Eletrônico;Nacional;344002;COADOR DESCARTÁVEL CAFÉ;280;2,63;Filtro descartável para café, número 103, caixa com 40 unidades.;false;homologado;1.90;false;NA;NA;caixa;NA;/pregoes/doc/pregao/3440020000112013;NORMAL
29979;2013-05-28T09:00:00;2013-05-16T08:00:00;2013-05-16T08:00:00;16/05/2013;Rua do Hospício, 563 - Boa Vista - /PE;Ordenado de Despesas;1,6019905000082E+016;NA;5;WASHINGTON LUIZ LIMA TEIXEIRA;82013;NA;6,45830006712013E+016;Pregão Eletrônico Registro de Preço para aquisição de gêneros alimentícios para ate nder as necessidades do Hospital Militar de Áre a de Recife.;Publicado;Eletrônico;Nacional;160199;CAFÉ;1000;2,69;CAFÉ, NOME CAFE MOIDO;false;homologado;2.63;false;NA;NA;UNIDADE;NA;/pregoes/doc/pregao/1601990000082013;NORMAL
4724;2014-05-21T09:00:00;2014-04-25T08:00:00;2014-04-25T08:00:00;25/04/2014;Rua Lorival Alfredo, 176 - Bairro Pueira - /AL;Assistente em Administração;1,5838005000012E+016;NA;5;ANA PAULA ALVES VILELA;12014;NA;2,30410037202014E+016;Pregão Eletrônico Aquisição de café, chá e açúcar.;Publicado;Eletrônico;Nacional;158380;CAFÉ;20650;2,83;Café tipo torrado, apresentação moído. Prazo de validade no mínimo de 01 ano, selo de pureza ABIC.;false;homologado;2.50;false;NA;NA;pacote 250g;NA;/pregoes/doc/pregao/1583800000012014;NORMAL
