id;data_abertura_proposta;data_entrega_edital;data_entrega_proposta;data_publicacao;endereco_entrega_edital;funcao_responsavel;identificador;informacoes_gerais;modalidade;nome_responsavel;numero_aviso;numero_itens;numero_processo;objeto;situacao_aviso;tipo_pregao;tipo_recurso;uasg;descricao_item;quantidade_item;valor_estimado_item;descricao_detalhada_item;margem_preferencial;situacao_item;menor_lance;decreto_7174;fornecedor_vencedor;tratamento_diferenciado;unidade_fornecimento;valor_negociado;valor_final;url_pregao;valor_item;tipo_material;situacao
602;2014-03-11T10:00:00;2014-02-21T08:00:00;2014-02-21T08:00:00;2014-02-21;Praca Andre de Albuquerque, 534 - Cidade Alta - /RN;Pregoeiro;7,00080500001201E+015;Registro de Preços.;5;ANSELMO PEREIRA SILVA;12014;NA;6894/13 (13556);Pregão Eletrônico Registro de Preço objetivando eventual Aquisição de Material de C onsumo para Uso Ordinário e Eleições (Gêneros A limentícios  Café).;Publicado;Eletrônico;Nacional;70008;CAFÉ;16000;3,15;CAFÉ, TIPO TORRADO, APRESENTAÇÃO MOÍDO, TIPO EMBALAGEM A VÁCUO;false;homologado;2,18;false;NA;NA;PACOTE 250,00 G;NA;2,18;/pregoes/doc/pregao/0700080000012014;2,18;217366;NORMAL
796;2014-01-27T11:00:00;2014-01-14T08:00:00;2014-01-14T08:00:00;2014-01-14;Av. Getulio Vargas, 3999 - /RR;Pregoeira;9,00390500001202E+015;Será uma licitação por grup os.;5;NANCIS TEREZA DANIELI LIMA;12014;NA;262/2013;Pregão Eletrônico Registro de preços para aquisição de gêneros alimentícios e mater ial de copa e cozinha, conforme anexo I do Edit al 02/2014.;Publicado;Eletrônico;Nacional;90039;CAFÉ;1200;10,88;CAFÉ, TIPO TORRADO, APRESENTAÇÃO MOÍDO, TIPO EMBALAGEM A VÁCUO,               CARACTERÍSTICAS ADICIONAIS EXTRA FORTE;false;adjudicado;4,8;false;NA;NA;PACOTE 500,00 G;NA;4,8;/pregoes/doc/pregao/0900390000012014;4,8;NA;NORMAL
866;2014-02-27T10:00:00;2014-02-17T09:00:00;2014-02-17T09:00:00;2014-02-17;Anexo Ii-b Palacio do Planalto Sala 114 Térreo - /DF;Pregoeira;1,1010105000012E+016;O presente Edital poderá se r retirado pelo site www.comprasnet.gov.br ou s er solicitado pelo e-mail: vpr.licitacao@presid encia.gov.br;5;HELEN GONCALVES DIAS;12014;NA;300000027201421;Pregão Eletrônico A presente licitaç ão tem por objeto a aquisição de suprimentos pa ra abastecimento da Copa da Vice-Presidência da República;Publicado;Eletrônico;Nacional;110101;CAFÉ;264;2310;CAFÉ, TIPO TORRADO, APRESENTAÇÃO MOÍDO, TIPO EMBALAGEM ALTO VÁCUO;false;cancelado na aceitação;3168;false;NA;NA;PACOTE 1,00 KG;NA;3168;/pregoes/doc/pregao/1101010000012014;12;232173;ALTO
879;2014-02-19T14:00:00;2014-02-07T09:00:00;2014-02-07T09:00:00;2014-02-07;Rua Rodrigo Silva Nº 26 - 18º Andar - Centro/RJ;Pregoeiro;1,1010205000012E+016;O Edital deverá ser baixado junto ao sítio www.comprasnet.gov.br .;5;JEFFERSON MIRANDA DA COSTA;12014;NA;592001131201314;Pregão Eletrônico Registro de Preços para a aquisição de gênero de alimentação CA FÉ, para atender às necessidades das Unidades C ircunscritas da Superintendência de Administraç ão no Rio de Janeiro SAD/RJ, conforme condiçõ es, quantidades e exigências estabelecidas no T ermo de referência.;Publicado;Eletrônico;Nacional;110102;CAFÉ;7324;8,04;CAFÉ, TIPO TORRADO, APRESENTAÇÃO MOÍDO, TIPO EMBALAGEM A VÁCUO, VALIDADE PRAZOMÍNIMO DE 1 ANO, CARACTERÍSTICAS ADICIONAIS SELO DE PUREZA DA ABIC;false;homologado;4,1;false;NA;NA;PACOTE 500,00 G;NA;4,1;/pregoes/doc/pregao/1101020000012014;4,1;300655;NORMAL
880;2014-02-19T14:00:00;2014-02-07T09:00:00;2014-02-07T09:00:00;2014-02-07;Rua Rodrigo Silva Nº 26 - 18º Andar - Centro/RJ;Pregoeiro;1,1010205000012E+016;O Edital deverá ser baixado junto ao sítio www.comprasnet.gov.br .;5;JEFFERSON MIRANDA DA COSTA;12014;NA;592001131201314;Pregão Eletrônico Registro de Preços para a aquisição de gênero de alimentação CA FÉ, para atender às necessidades das Unidades C ircunscritas da Superintendência de Administraç ão no Rio de Janeiro SAD/RJ, conforme condiçõ es, quantidades e exigências estabelecidas no T ermo de referência.;Publicado;Eletrônico;Nacional;110102;CAFÉ;5112;7,43;CAFÉ, TIPO TORRADO, APRESENTAÇÃO MOÍDO, TIPO EMBALAGEM A VÁCUO, VALIDADE PRAZOMÍNIMO DE 1 ANO, CARACTERÍSTICAS ADICIONAIS SELO DE PUREZA DA ABIC;false;homologado;4,14;false;NA;NA;PACOTE 500,00 G;NA;4,14;/pregoes/doc/pregao/1101020000012014;4,14;300655;NORMAL
881;2014-02-19T14:00:00;2014-02-07T09:00:00;2014-02-07T09:00:00;2014-02-07;Rua Rodrigo Silva Nº 26 - 18º Andar - Centro/RJ;Pregoeiro;1,1010205000012E+016;O Edital deverá ser baixado junto ao sítio www.comprasnet.gov.br .;5;JEFFERSON MIRANDA DA COSTA;12014;NA;592001131201314;Pregão Eletrônico Registro de Preços para a aquisição de gênero de alimentação CA FÉ, para atender às necessidades das Unidades C ircunscritas da Superintendência de Administraç ão no Rio de Janeiro SAD/RJ, conforme condiçõ es, quantidades e exigências estabelecidas no T ermo de referência.;Publicado;Eletrônico;Nacional;110102;CAFÉ;450;8,04;CAFÉ, TIPO TORRADO, APRESENTAÇÃO MOÍDO, TIPO EMBALAGEM A VÁCUO, VALIDADE PRAZOMÍNIMO DE 1 ANO, CARACTERÍSTICAS ADICIONAIS SELO DE PUREZA DA ABIC;false;homologado;4,31;false;NA;NA;PACOTE 500,00 G;NA;4,31;/pregoes/doc/pregao/1101020000012014;4,31;300655;NORMAL
882;2014-02-19T14:00:00;2014-02-07T09:00:00;2014-02-07T09:00:00;2014-02-07;Rua Rodrigo Silva Nº 26 - 18º Andar - Centro/RJ;Pregoeiro;1,1010205000012E+016;O Edital deverá ser baixado junto ao sítio www.comprasnet.gov.br .;5;JEFFERSON MIRANDA DA COSTA;12014;NA;592001131201314;Pregão Eletrônico Registro de Preços para a aquisição de gênero de alimentação CA FÉ, para atender às necessidades das Unidades C ircunscritas da Superintendência de Administraç ão no Rio de Janeiro SAD/RJ, conforme condiçõ es, quantidades e exigências estabelecidas no T ermo de referência.;Publicado;Eletrônico;Nacional;110102;CAFÉ;450;7,43;CAFÉ, TIPO TORRADO, APRESENTAÇÃO MOÍDO, TIPO EMBALAGEM A VÁCUO, VALIDADE PRAZOMÍNIMO DE 1 ANO, CARACTERÍSTICAS ADICIONAIS SELO DE PUREZA DA ABIC;false;cancelado;NA;false;NA;NA;PACOTE 500,00 G;NA;7,43;/pregoes/doc/pregao/1101020000012014;7,43;300655;NORMAL
1090;2014-09-18T09:30:00;2014-09-08T08:00:00;2014-09-08T08:00:00;2014-09-08;Esplanada Dos Ministérios, Bloco  polegadaso polegadas, 9º Andar - Plano Piloto/DF;Ordenador de Despesa;1,1035505000012E+016;NA;5;GERMINIO ZANARDO JUNIOR;12014;NA;18000469201463;Pregão Eletrônico Registro de preços , com vistas a contratação de empresa para pres imento de materiais necessários. tação de serviços de realização de eventos e co rrelatos para a Secretaria de Assuntos Estratég icos da Presidência da República  SAE/PR, em t odo o território nacional, sob demanda, abrange ndo planejamento operacional, organização, exec ução, acompanhamento, fornecimento de alimentaç ão e bebida, infraestrutura, transportes, apoio logístico, ornamentação e a confecção e fornec;Publicado;Eletrônico;Nacional;110355;Decoração - Eventos / Solenidades;800;18;Café ou chá - fora de ambiente hoteleiro;false;homologado;2;false;NA;NA;unidade;NA;2;/pregoes/doc/pregao/1103550000012014;2;NA;NORMAL
1099;2014-09-18T09:30:00;2014-09-08T08:00:00;2014-09-08T08:00:00;2014-09-08;Esplanada Dos Ministérios, Bloco  polegadaso polegadas, 9º Andar - Plano Piloto/DF;Ordenador de Despesa;1,1035505000012E+016;NA;5;GERMINIO ZANARDO JUNIOR;12014;NA;18000469201463;Pregão Eletrônico Registro de preços , com vistas a contratação de empresa para pres imento de materiais necessários. tação de serviços de realização de eventos e co rrelatos para a Secretaria de Assuntos Estratég icos da Presidência da República  SAE/PR, em t odo o território nacional, sob demanda, abrange ndo planejamento operacional, organização, exec ução, acompanhamento, fornecimento de alimentaç ão e bebida, infraestrutura, transportes, apoio logístico, ornamentação e a confecção e fornec;Publicado;Eletrônico;Nacional;110355;Decoração - Eventos / Solenidades;800;28;Café ou chá - dentro de ambiente hoteleiro;false;homologado;10;false;NA;NA;unidade;NA;10;/pregoes/doc/pregao/1103550000012014;10;NA;ALTO
1386;2014-01-23T09:30:00;2014-01-13T08:00:00;2014-01-13T08:00:00;2014-01-13;Scs Qd. 08, Ed. Super Center Venâncio 2000, Bl. B-50/60_1º Subsol - Asa Sul/DF;Pregoeira;1,1540605000012E+016;NA;5;NEIRE MARIS MARQUES;12014;NA;002449/2013;Pregão Eletrônico Contratação de emp resa especializada no fornecimento de Café em p ó homogêneo, torrado e moído e Açúcar Refinado para uso e consumo nas dependências da EBC, no Rio de Janeiro/RJ, durante o exercício de 2014.;Publicado;Eletrônico;Nacional;115406;CAFÉ;3600;50184;CAFÉ, NOME CAFE MOIDO - Café em pó homogêneo,  torrado e moído, embalado à  vácuo, fornecido em pacote de  500 (quinhentos) gramas.;false;homologado;28580;false;NA;NA;quilograma;NA;28580;/pregoes/doc/pregao/1154060000012014;7,94;9725;NORMAL
