id;data_abertura_proposta;data_entrega_edital;data_entrega_proposta;data_publicacao;endereco_entrega_edital;funcao_responsavel;identificador;informacoes_gerais;modalidade;nome_responsavel;numero_aviso;numero_itens;numero_processo;objeto;situacao_aviso;tipo_pregao;tipo_recurso;uasg;descricao_item;quantidade_item;valor_estimado_item;descricao_detalhada_item;margem_preferencial;situacao_item;menor_lance;decreto_7174;fornecedor_vencedor;tratamento_diferenciado;unidade_fornecimento;valor_negociado;valor_final;url_pregao;valor_item;tipo_material;situacao
506;2014-03-06T14:00:00;2014-02-20T10:00:00;2014-02-20T10:00:00;2014-02-20;Rua Terenos, Nr. 535 - Bairro Amambai - Campo Grande/ms - /MS;Ordenadora de Despesa;6000705000012010;Será feita a aquisição de 6 .081 (seis mil e oitenta e um) litros.;5;SAFIRA MARIA DE FIGUEREDO;12014;NA;05/2014;Pregão Eletrônico Aquisição parcelad a de gasolina comum, tipo C, combustível, confo rme as especificações estabelecidas pela Agênci a Nacional do Petróleo  ANP, para abasteciment o dos veículos oficiais da Auditoria da 9ª CJM, de acordo com o Termo de Referência Anexo I, através de, no mínimo, 1 posto para abastecime nto, o qual não poderá estar situado à distânci a superior de 8 km da sede da Auditoria da 9ª C JM.;Publicado;Eletrônico;Nacional;60007;GASOLINA COMUM;6081;18613,94;GASOLINA COMUM, NOME GASOLINA - COMBUSTIVEL VEICULO;false;cancelado;NA;false;NA;NA;litros;NA;18613,94;/pregoes/doc/pregao/0600070000012014;3,06;16950;NORMAL
508;2014-07-18T10:00:00;2014-07-04T13:01:00;2014-07-04T13:01:00;2014-07-04;Rua General Portinho, 426  -  Centro - /RS;Pregoeiro;6001805000012010;NA;5;MICHELLE KUHN FORNARI;12014;NA;38;Pregão Eletrônico Aquisição de Combu stível,gasolina, para a frota de veículos da 1ª Auditoria da 3ª CJM.;Publicado;Eletrônico;Nacional;60018;GASOLINA COMUM;6600;19071;GASOLINA COMUM, NOME GASOLINA - COMBUSTIVEL VEICULO;false;homologado;0,02;false;NA;NA;Litros;0,5;0,5;/pregoes/doc/pregao/0600180000012014;0,5;16950;NORMAL
510;2014-01-31T09:00:00;2014-01-17T13:00:00;2014-01-17T13:00:00;2014-01-17;Av. Medianeira, 91 - Santa Maria/rs - Medianeira/RS;Pregoeiro;6002005000012010;NA;5;LUIZ HENRIQUE MEGER EMMANUELLI;12014;NA;42/2013;Pregão Eletrônico Contratação de soc iedade empresária para fornecimento parcelado d e gasolina, óleo lubrificante, filtros e serviç os de lavagem para a frota dos veículos oficiai s da 3ª Auditoria da 3ª CJM;Publicado;Eletrônico;Nacional;60020;GASOLINA COMUM;7200;21960;GASOLINA COMUM, NOME GASOLINA - COMBUSTIVEL VEICULO;false;homologado;1,5;false;NA;NA;litro;NA;1,5;/pregoes/doc/pregao/0600200000012014;1,5;NA;NORMAL
520;2014-04-30T14:00:00;2014-04-11T10:00:00;2014-04-11T10:00:00;2014-04-15;Avenida Cásper Líbero, 88 - Santa Ifigênia/SP;Juiza-auditora Diretora do Foro;6002905000012010;NA;5;TELMA ANGELICA FIGUEIREDO;12014;NA;18;Pregão Eletrônico Contratação de emp resa especializada no fornecimento de combustiv el para a frota da 2ª CJM, peloperíodo de 12 me ses.;Publicado;Eletrônico;Nacional;60029;GASOLINA COMUM;14000;2,99;GASOLINA COMUM, NOME GASOLINA - COMBUSTIVEL VEICULO;false;cancelado;NA;false;NA;NA;litro;NA;2,99;/pregoes/doc/pregao/0600290000012014;2,99;16950;NORMAL
1292;2014-02-28T10:00:00;2014-02-05T09:00:00;2014-02-05T09:00:00;2014-02-05;Av. Prudente de Morais, 161 - Petropolis - Petropolis/RN;Pregoeiro;11461205000012000;Não serão cobradas taxas pa ra retirada do Edital, que também estará dispon ível no www.comprasnet.gov.br;5;ANDRE LUIS NOGUEIRA DA SILVA;12014;NA;3624000079201430;Pregão Eletrônico Contratação de emp resa especializada na prestação de serviços con do a tecnologia que melhor controle com seguran ça a contratação, a fim de atender os veículos terrestres oficiais do IBGE, nos municípios do Estado do Rio Grande do Norte, conforme condiçõ es e exigências estabelecidas no Edital e seus Anexos tinuados de administração, gerenciamento e cont role de aquisição de combustíveis em rede de po stos credenciados, tipo gasolina comum, álcool comum e óleo diesel para os veículos, compreend endo administração e gerenciamento informatizad o, com uso de cartões eletrônicos magnéticos ou com chip como meio de intermediação do pagamen to, pelo fornecimento de combustíveis, utilizan;Publicado;Eletrônico;Nacional;114612;GASOLINA COMUM;53040;158059,2;GASOLINA COMUM;false;homologado;0;false;NA;NA;LITROS;0,01;0,01;/pregoes/doc/pregao/1146120000012014;0,01;NA;NORMAL
4269;2014-04-03T08:00:00;2014-03-24T08:00:00;2014-03-24T08:00:00;2014-03-24;Av. Eng. Hildebrando de Gois, 150, Ribeira - Ribeira/RN;Superintendente da Sfa-rn;13002305000012000;NA;5;WODEN COUTINHO MADRUGA JUNIOR;12014;NA;21040000869201400;Pregão Eletrônico Registro de Preços para eventual contratação de COMBUSTÍVEIS (GAS OLINA COMUM, DIESEL COMUM E ETANOL COMUM) para atender as necessidades da Superintendência Fed eral de Agricultura no Estado do R. G. Norte SFA/RN;Publicado;Eletrônico;Nacional;130023;GASOLINA COMUM;13500;2,98;GASOLINA COMUM, NOME GASOLINA - COMBUSTIVEL VEICULO;false;homologado;2,95;false;NA;NA;LITRO;NA;2,95;/pregoes/doc/pregao/1300230000012014;2,95;16950;NORMAL
4276;2014-05-06T09:00:00;2014-04-22T09:00:00;2014-04-22T09:00:00;2014-04-22;Br 230, Km 14 - Trecho Cabedelo/joao Pessoa - Morada Nova/PB;Superintendente;13002405000012000;NA;5;LUCIO AURELIO BRAGA MATOS;12014;NA;21032000288201400;Pregão Eletrônico Aquisição de combu stíveis para uso desta SFA-PB;Publicado;Eletrônico;Nacional;130024;GASOLINA COMUM;10000;29290;GASOLINA COMUm - COMBUSTIVEL VEICULO para abastecimento em João Pessoa;false;cancelado;NA;false;NA;NA;litro;NA;29290;/pregoes/doc/pregao/1300240000012014;2,93;NA;NORMAL
4278;2014-05-06T09:00:00;2014-04-22T09:00:00;2014-04-22T09:00:00;2014-04-22;Br 230, Km 14 - Trecho Cabedelo/joao Pessoa - Morada Nova/PB;Superintendente;13002405000012000;NA;5;LUCIO AURELIO BRAGA MATOS;12014;NA;21032000288201400;Pregão Eletrônico Aquisição de combu stíveis para uso desta SFA-PB;Publicado;Eletrônico;Nacional;130024;GASOLINA COMUM;3000;8436;GASOLINA COMUM - COMBUSTIVEL VEICULO, para abasteciemtno em Campina Grande;false;cancelado;NA;false;NA;NA;litro;NA;8436;/pregoes/doc/pregao/1300240000012014;2,81;NA;NORMAL
4280;2014-05-06T09:00:00;2014-04-22T09:00:00;2014-04-22T09:00:00;2014-04-22;Br 230, Km 14 - Trecho Cabedelo/joao Pessoa - Morada Nova/PB;Superintendente;13002405000012000;NA;5;LUCIO AURELIO BRAGA MATOS;12014;NA;21032000288201400;Pregão Eletrônico Aquisição de combu stíveis para uso desta SFA-PB;Publicado;Eletrônico;Nacional;130024;GASOLINA COMUM;1500;4251;GASOLINA COMUM - COMBUSTIVEL VEICULO para abastecimento em Patos-PB;false;cancelado;NA;false;NA;NA;litro;NA;4251;/pregoes/doc/pregao/1300240000012014;2,83;NA;NORMAL
4643;2014-02-20T09:30:00;2014-02-10T08:00:00;2014-02-10T08:00:00;2014-02-10;Av. Santos Dumont, 594 - Sao Pedro - Boa Vista/rr - São Pedro/RR;Superintendente da Sfa/rr;13009305000012000;NA;5;DIVINO CARLOS GOUVEA;12014;NA;21048000007201500;Pregão Eletrônico Aquisição de combu stiveis para atender a frota de veículos desta SFA/RR.;Publicado;Eletrônico;Nacional;130093;GASOLINA COMUM;20000;62000;GASOLINA COMUM, NOME GASOLINA - COMBUSTIVEL VEICULO;false;homologado;59000;false;NA;NA;litro;NA;59000;/pregoes/doc/pregao/1300930000012014;2,95;16950;NORMAL
